distance,Place of interest,Place address,BiciMAD station,Station location
0.33082425234033525,Parque Begoña,CALLE SAN MODESTO 1,217 - Pedro Rico,Calle Pedro Rico nº 4
3.9460835474436737,Parque Biosaludable,PASEO ALAMEDA DE OSUNA 8,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
2.0411411183265935,Parque Campo de la Paloma,AVENIDA RAFAEL ALBERTI 38,221 - Pavones,Calle Hacienda de Pavones nº 342
0.12989766800641483,Parque Caramuel,CALLE CARAMUEL 53,224 - Caramuel,Calle Caramuel nº 51
2.1769783996276226,Parque Cerro Almodóvar,CALLE MARCELINO CASTILLO 29,224 - Caramuel,Calle Caramuel nº 51
2.1108826626982196,Parque Cerro Peñabel,CALLE CANDIDO MATEOS 12,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
0.5188859234101215,Parque Cerro del Tío Pío,CALLE BENJAMIN PALENCIA 2,226 - Sierra Toledana,Camino de Valderribas nº 94
2.742702678348356,Parque Cerro Águila,CAMINO CERRO DEL AGUILA 1,261 - Facultad Derecho,Avenida Complutense nº 23
4.027981310430405,Parque Ciudad de los Ángeles,CALLE ANOETA 14 B,213 - Glorieta de Cádiz,Calle Antonio López nº 129
3.277091125969557,Parque Cuesta del Galbán,CUESTA GALBAN 2,261 - Facultad Derecho,Avenida Complutense nº 23
1.7445390156539873,Parque Cuña Verde de Vicálvaro. Zona A,AVENIDA DAROCA 300,221 - Pavones,Calle Hacienda de Pavones nº 342
1.7983821936492173,Parque Cuña Verde de Vicálvaro. Zona B,AVENIDA DAROCA 299,221 - Pavones,Calle Hacienda de Pavones nº 342
2.711313371067713,Parque Cuña Verde de Vicálvaro. Zona C,AVENIDA CANILLEJAS A VICALVARO 102,221 - Pavones,Calle Hacienda de Pavones nº 342
1.075705232478998,Parque Dehesa de la Villa,CARRETERA DEHESA DE LA VILLA 1,261 - Facultad Derecho,Avenida Complutense nº 23
2.4527982652421807,Parque Duque de Ahumada,CALLE LAGO VAN 16,221 - Pavones,Calle Hacienda de Pavones nº 342
0.3048174199266812,Parque El Calero,CALLE JOSE DEL HIERRO 1,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18
1.0582977579646484,Parque El Cedral,CALLE ARTURO SORIA 233,254 - Pío XII,Avenida Pío XII nº 3
4.251670272150894,Parque El Cruce,CALLE ALCOCER 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129
0.11928141733001658,Parque Emir Mohamed I,CUESTA RAMON 1,166 - Segovia 26,Calle Segovia nº 26
1.8339232057042922,Parque Emperatriz María de Austria,CALLE VIA LUSITANA 3,228 - San Delfín,Calle San Delfín nº 9
0.5358276830090104,Parque Enrique Tierno Galván,CALLE MENESES 4,180 - Méndez Álvaro,Calle Retama nº 5
2.893751352581434,Parque Entrevías Forestal,CALLE EMBAJADORES 251,227 - Concordia,Calle Arroyo del Olivar nº 6
2.390642464112091,Parque Entrevías Urbano,RONDA SUR 8,227 - Concordia,Calle Arroyo del Olivar nº 6
1.574618460732196,Parque Este de Valdebernardo,AVENIDA DEMOCRACIA 25,221 - Pavones,Calle Hacienda de Pavones nº 342
3.707964572759394,Parque Eugenia de Montijo,CALLE PARQUE EUGENIA DE MONTIJO 3,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
0.27525681033754523,Parque Eva Duarte,CALLE DOCTOR GOMEZ ULLA 9,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87
1.1567007097702913,Parque Forestal Fuente Carrantona,CALLE FUENTE CARRANTONA 38,221 - Pavones,Calle Hacienda de Pavones nº 342
3.472669774945076,Parque Forestal Julio Alguacil Gómez,PARQUE Ctra Carabanchel a Villaverde  con vuelta Calle Verde Viento ,213 - Glorieta de Cádiz,Calle Antonio López nº 129
3.762494434087293,Parque Forestal de Valdebebas-Felipe VI,AVENIDA LAS FUERZAS ARMADAS 11,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
2.637164947956347,Parque Forestal de Vicálvaro,PASEO POLIDEPORTIVO 1,221 - Pavones,Calle Hacienda de Pavones nº 342
0.8812274208151918,Parque Félix Rodríguez de la Fuente,CALLE PADRE CLARET 38,251 - Corazón de María,Calle Santa Hortensia nº 31
5.651385749300072,Parque General Fanjul - Santa Margarita,AVENIDA DE LAS ÁGUILAS 144,224 - Caramuel,Calle Caramuel nº 51
2.9212174184856203,Parque Hortaleza,CARRETERA ESTACION DE HORTALEZA 18,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
4.777198611834466,Parque Huerta del Obispo.,CALLE PALOMARES 34,213 - Glorieta de Cádiz,Calle Antonio López nº 129
3.4057485052197736,Parque Juan Carlos I,"GLORIETA S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5 5",230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
